Node1	Node2	AdamicAdar	WeightedKatz	IsEdge	BonCen1	BonCen2	StatusDiff
38396	44262	10.5325566001	51.4425	1	0.096669	0.022594	0.074075
36709	41623	0.668517816755	2.7075	1	0.002343	0.001902	0.000441
32042	44873	6.56435946241	27.075	1	0.073019	0.011825	0.061194
31446	48682	7.05695567805	24.3675	1	0.106363	0.005893	0.10047
49601	50289	2.20404927135	9.9275	1	0.034752	0.013461	0.021291
32602	34909	2.71797430913	9.025	1	0.000909	0.001569	0.00066
31939	49702	4.52911112248	14.44	1	0.00149	0.00149	0
30938	50479	14.0269107813	65.8825	1	0.038965	0.049255	0.01029
39317	43709	1.83475865303	6.3175	1	0.009417	0.001445	0.007972
40016	51905	2.52111039451	9.9275	1	0.005056	0.058617	0.053561
36017	43393	12.9400342729	64.0775	1	0.038154	0.076329	0.038175
36930	44494	1.7108522933	5.415	1	0.00589	0.001324	0.004566
35135	44496	3.61323215876	8.1225	1	3.7e-05	1.3e-05	2.4e-05
36392	38656	19.4239259325	94.7625	1	0.058504	0.056406	0.002098
41875	46003	8.09461569729	39.71	1	0.029734	0.053094	0.02336
47379	48629	8.61340850173	40.6125	1	0.026564	0.02317	0.003394
36626	39460	2.11217017483	9.9275	1	0.016509	0.009341	0.007168
30999	31087	19.2324264958	89.3475	1	0.097209	0.028142	0.069067
34509	38093	8.16565614926	33.3925	1	0.006851	0.040328	0.033477
34543	34837	6.27333215672	31.5875	1	0.017568	0.070525	0.052957
32508	40366	15.2289260072	60.4675	1	0.078891	0.016596	0.062295
35604	35634	0.682373563374	2.7075	1	0.000107	0.00174	0.001633
38077	42263	1.91541261217	4.5125	1	0.000524	0.000101	0.000423
32038	32147	1.04428539984	2.7075	1	0.000846	0.000883	3.7e-05
35387	38257	2.57890721703	10.83	1	0.02368	0.005185	0.018495
35671	38550	5.51793065213	14.44	1	7e-05	0.00042	0.00035
34670	40991	1.8649134617	5.415	1	0.001446	0.015321	0.013875
32994	36376	0.849317302771	1.805	1	0.001065	8.1e-05	0.000984
43636	47554	6.75135555943	27.9775	1	0.014097	0.035599	0.021502
31120	36926	12.7394826939	52.345	1	0.020347	0.086816	0.066469
39452	39564	4.14322199073	12.635	1	0.000968	0.000968	0
32089	41971	0.586101296003	1.805	1	0.018607	0.000125	0.018482
37447	37950	1.75652824136	8.1225	1	0.0196	0.003736	0.015864
35757	46317	4.72940570989	12.635	1	0.02314	0.000553	0.022587
32626	42260	0.227559806657	0.9025	1	0.000249	0.023923	0.023674
33624	39842	6.06077516767	28.88	1	0.025365	0.022137	0.003228
30967	39131	1.86574491058	6.3175	1	0.001019	0.0139	0.012881
41089	50972	2.8114355973	8.1225	1	0.00084	0.00084	0
35757	36089	7.19128371905	32.49	1	0.02314	0.036843	0.013703
31726	40466	1.14785524514	3.61	1	0.002842	5.7e-05	0.002785
34837	36392	19.1962895031	94.7625	1	0.070525	0.058504	0.012021
36135	37269	0.860431946432	2.7075	1	0.002742	0.005559	0.002817
42727	51510	3.38046931203	13.5375	1	0.053291	0.003055	0.050236
34900	50380	4.26340130186	18.05	1	0.035368	0.015908	0.01946
39955	51493	2.89303663166	10.83	1	0.018825	0.010466	0.008359
30932	33574	2.141983829	7.22	1	0.00104	0.004106	0.003066
41897	41913	0.956310690864	3.61	1	0.003186	0.0099	0.006714
35384	45518	3.91726256718	14.44	1	0.002971	0.02082	0.017849
31522	33420	2.4151606441	8.1225	1	0.009015	0.006877	0.002138
47387	51511	0.619576845333	1.805	1	0.001172	4.5e-05	0.001127
41495	45557	2.94248293995	12.635	1	0.06182	0.006597	0.055223
37113	39234	2.76897877765	9.9275	1	0.001467	0.005928	0.004461
46245	48894	2.52907797226	13.5375	1	0.027451	0.007352	0.020099
39814	41979	13.1624808898	58.6625	1	0.081581	0.024089	0.057492
33314	41485	1.57706171786	7.22	1	0.002259	0.005767	0.003508
44549	51947	2.22939845849	7.22	1	0.000721	0.000721	0
43758	47527	3.96241635753	14.44	1	0.018043	0.002733	0.01531
31394	33264	3.55226003514	11.7325	1	0.022555	0.002071	0.020484
43456	48090	5.10508872849	19.855	1	0.008673	0.004967	0.003706
47159	49397	3.99510119689	14.44	1	0.002733	0.031366	0.028633
37653	47402	1.96804964993	8.1225	1	0.038511	0.002706	0.035805
31952	36895	2.54147424683	12.635	1	0.038115	0.007495	0.03062
45066	48459	3.1919526526	6.3175	1	4e-06	0.000185	0.000181
32493	41272	3.5747086878	12.635	1	0.001943	0.00856	0.006617
36403	45236	6.3885332518	28.88	1	0.088983	0.014228	0.074755
35390	40604	11.7606699313	55.0525	1	0.109738	0.020707	0.089031
41271	46666	6.86913708853	28.88	1	0.148181	0.008621	0.13956
47338	50258	2.4485891888	5.415	1	0.000145	9.5e-05	5e-05
38341	39835	3.31988462293	7.22	1	0.000301	0.003271	0.00297
39048	42878	4.20841617897	18.05	1	0.011246	0.014127	0.002881
37985	40445	3.2263117504	10.83	1	0.010439	0.009487	0.000952
34307	36572	1.67380459588	9.025	1	0.017124	0.009373	0.007751
37981	40713	1.54636611639	3.61	1	0.011258	9.1e-05	0.011167
33964	42939	2.91337553171	15.3425	1	0.030385	0.010213	0.020172
44972	45412	1.82047845325	1.805	1	0	0	0
33357	37296	12.0403510056	61.37	1	0.043491	0.06782	0.024329
44122	51251	0.819596099568	2.7075	1	0.02384	0.000732	0.023108
39031	49118	0.766983211647	1.805	1	2.1e-05	1.6e-05	5e-06
46245	51581	10.5216347802	46.93	1	0.027451	0.042473	0.015022
34023	41222	2.80174311032	14.44	1	0.013341	0.025567	0.012226
40115	45887	1.29003942627	5.415	1	0.002105	0.004059	0.001954
31378	34711	1.8806334531	4.5125	1	0.002788	0.0041	0.001312
34837	38877	7.72650166397	33.3925	1	0.070525	0.015419	0.055106
47534	48568	7.3732112534	32.49	1	0.010197	0.054405	0.044208
34058	34103	2.07622938765	9.9275	1	0.035426	0.005339	0.030087
39449	43634	2.23649145142	5.415	1	0.002104	0.002162	5.79999999999999e-05
38811	43863	1.74962271732	2.7075	1	2.2e-05	2.2e-05	0
35188	51359	5.89165267967	26.1725	1	0.080332	0.011891	0.068441
31479	50125	1.46841059259	3.61	1	0.037087	0.001025	0.036062
45326	48508	0.84143951679	1.805	1	7.8e-05	7.8e-05	0
31446	39288	14.8709399178	72.2	1	0.106363	0.029012	0.077351
32048	35156	2.70564708805	11.7325	1	0.002607	0.009187	0.00658
45994	50601	2.51503695608	8.1225	1	0.000641	0.000641	0
33714	45148	3.04840928245	9.9275	1	0.001105	0.019951	0.018846
31428	36120	4.44982446444	21.66	1	0.010861	0.057557	0.046696
31820	34456	0	0	1	4.4e-05	0.007412	0.007368
36228	38968	0.410475452744	1.805	1	0.004682	0.000301	0.004381
41271	48073	0.52754432296	2.7075	1	0.148181	0.002064	0.146117
42937	51763	2.11469520212	3.61	1	0.105906	0.000712	0.105194
49265	49418	7.7559037166	37.905	1	0.026282	0.040597	0.014315
39103	40636	11.8259054064	55.0525	1	0.023152	0.072205	0.049053
30923	31197	0.536433482389	2.7075	1	0.001859	0.000917	0.000942
43023	50354	4.91181093749	18.05	1	0.037539	0.002961	0.034578
45944	51848	7.44311139365	33.3925	1	0.041561	0.011877	0.029684
34675	46374	2.57877303542	6.3175	1	0.000244	0.000219	2.5e-05
34948	35174	4.03982427388	21.66	1	0.088713	0.013171	0.075542
43882	51631	3.67059645928	11.7325	1	0.000963	0.000963	0
47427	48958	3.19739337592	8.1225	1	0.000318	0.000318	0
31428	51924	6.48661803642	26.1725	1	0.010861	0.008507	0.002354
37422	44280	11.4299734426	55.0525	1	0.057007	0.030883	0.026124
35000	46181	4.84066134624	18.05	1	0.007092	0.002961	0.004131
32201	50614	12.0183354827	50.54	1	0.062408	0.016312	0.046096
36207	43986	4.18447065411	15.3425	1	0.087778	0.005883	0.081895
32783	37984	11.8582799171	53.2475	1	0.050909	0.022775	0.028134
47732	49378	2.60548147099	13.5375	1	0.066803	0.008209	0.058594
38088	43649	4.37426778054	21.66	1	0.034512	0.010509	0.024003
42563	46679	1.44269504089	0.9025	1	0.000893	5e-06	0.000888
