"investors"	"companies"
30828	1
30828	2
30828	2
30828	3
30828	3
30828	4
30828	4
30828	5
30828	6
30828	6
30828	7
30828	8
30828	9
30828	9
30828	9
30828	9
30828	10
30828	10
30828	11
30828	12
30828	13
30828	13
30828	14
30828	15
30828	15
30828	16
30828	17
30828	18
30828	18
30828	18
30828	19
30828	19
30828	19
30828	19
30828	19
30828	20
30828	21
30828	21
30828	21
30828	22
30828	22
30828	22
30828	23
30828	23
30828	23
30828	23
30828	24
30828	25
30828	25
30829	26
30830	27
30831	28
30831	29
30831	30
30831	31
30831	32
30832	33
30833	34
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30834	35
30835	36
30835	37
30835	37
30836	38
30836	39
30836	40
30836	41
30836	42
30836	43
30836	44
30836	45
30836	46
30836	47
30836	48
30836	49
30836	50
30836	51
30836	52
30836	53
30836	54
30836	55
30836	56
30836	57
30836	58
30837	59
30837	59
30837	60
30837	61
30837	62
30837	63
30837	63
30838	64
30838	65
30838	66
30838	66
30838	67
30838	68
30838	69
30838	69
30838	70
30838	71
30838	72
30838	73
30839	74
30839	75
30839	76
30839	77
30839	78
30839	79
30839	80
30839	81
30839	81
30839	82
30839	83
30839	84
30839	85
30840	86
30841	87
30842	88
30843	89
30844	90
30845	91
30846	92
30847	93
30848	94
30849	95
30850	96
30851	97
30851	98
30851	99
30851	100
30851	101
30851	101
30852	102
30853	103
30854	104
30855	105
30855	106
30855	106
30855	107
30855	107
30855	108
30855	109
30855	109
30856	110
30856	111
30856	112
30856	113
30856	114
30856	115
30856	116
30857	117
30858	118
30858	119
30858	120
30858	121
30858	122
30858	122
30858	122
30858	122
30858	122
30858	123
30858	124
30858	125
30858	125
30858	126
30858	126
30858	126
30858	127
30858	128
30859	129
30860	130
30861	131
30861	132
30862	133
30863	134
30863	135
30863	135
30863	136
30863	137
30863	138
30863	139
30863	139
30863	139
30863	140
30864	141
30864	141
30865	142
30866	143
30866	144
30867	145
30868	146
30869	147
30870	148
30871	149
30872	150
30872	151
30872	152
30872	153
30872	154
30872	155
30872	156
30872	157
30872	158
30872	159
30872	160
30872	160
30872	161
30872	162
30872	163
30872	164
30872	165
30872	166
30872	167
30872	168
30872	169
30872	170
30872	170
30872	170
30872	170
30872	171
30872	172
30872	173
30872	174
30872	175
30872	176
30872	177
30872	178
30872	179
30872	180
30872	181
30872	182
30872	183
30872	184
30872	185
30872	186
30872	187
30872	188
30872	189
30872	190
30872	191
30872	192
30872	193
30872	194
30873	169
30874	195
30875	196
30875	197
30876	198
30877	199
30877	200
30877	201
30877	201
30878	202
30879	203
30880	204
30881	205
30881	206
30882	207
30882	208
30882	209
30882	210
30882	210
30882	211
30882	212
30882	213
30882	214
30882	215
30882	216
30882	217
30882	218
30882	219
30882	220
30882	220
30882	221
30882	221
30882	222
30882	223
30882	224
30882	225
30882	226
30882	227
30882	228
30882	229
30882	229
30882	230
30882	231
30882	231
30882	232
30882	233
30882	234
30882	235
30882	236
30882	237
30882	237
30882	237
30882	238
30882	239
30882	240
30882	241
30882	241
30882	242
30882	242
30882	242
30882	243
30882	244
30882	244
30882	245
30882	246
30882	247
30882	248
30882	249
30882	250
30882	251
30882	252
30882	252
30882	252
30882	253
30882	254
30882	255
30882	255
30882	256
30882	257
30882	258
30882	259
30882	260
30882	261
30882	261
30882	261
30882	262
30882	262
30882	263
30882	264
30882	264
30882	265
30882	265
30882	266
30882	267
30882	268
30882	268
30882	268
30882	268
30882	269
30882	269
30882	78
30882	270
30882	270
30882	270
30882	270
30882	271
30882	272
30882	273
30882	274
30882	275
30882	276
30882	277
30882	278
30882	279
30882	279
30882	279
30882	280
30882	281
30882	282
30882	283
30882	284
30882	285
30883	286
30883	287
30884	288
30884	286
30884	289
30884	290
30884	291
30884	292
30884	293
30884	294
30884	295
30884	296
30884	297
30885	298
30885	299
30885	300
30885	301
30886	302
30887	303
30887	304
30887	305
30887	306
30887	307
30887	308
30887	107
30887	309
30887	309
30887	310
30887	311
30887	311
