"investors"	"companies"	"time"
30828	1	"2011-08"
30828	2	"2007-05"
30828	2	"2008-11"
30828	3	"2012-06"
30828	3	"2011-11"
30828	4	"2012-04"
30828	4	"2010-06"
30828	5	"2008-05"
30828	6	"2009-08"
30828	6	"2008-06"
30828	7	"2008-09"
30828	8	"2013-04"
30828	9	"2010-08"
30828	9	"2007-01"
30828	9	"2007-06"
30828	9	"2009-01"
30828	10	"2011-04"
30828	10	"2008-11"
30828	11	"2014-06"
30828	12	"2008-06"
30828	13	"2013-10"
30828	13	"2014-04"
30828	14	"2013-06"
30828	15	"2014-06"
30828	15	"2013-03"
30828	16	"2014-06"
30828	17	"2012-08"
30828	18	"2007-10"
30828	18	"2014-02"
30828	18	"2012-07"
30828	19	"2010-02"
30828	19	"2007-01"
30828	19	"2009-03"
30828	19	"2012-04"
30828	19	"2014-09"
30828	20	"2013-07"
30828	21	"2014-07"
30828	21	"2012-12"
30828	21	"2013-09"
30828	22	"2008-10"
30828	22	"2012-07"
30828	22	"2010-02"
30828	23	"2011-02"
30828	23	"2012-11"
30828	23	"2008-06"
30828	23	"2014-02"
30828	24	"2012-02"
30828	25	"2013-05"
30828	25	"2014-03"
30829	26	"2013-09"
30830	27	"2012-10"
30831	28	"2013-11"
30831	29	"2013-07"
30831	30	"2013-12"
30831	31	"2014-02"
30831	32	"2013-07"
30832	33	"2008-02"
30833	34	"2012-06"
30834	35	"2009-02"
30834	35	"2010-05"
30834	35	"2010-05"
30834	35	"2010-03"
30834	35	"2010-02"
30834	35	"2009-12"
30834	35	"2009-11"
30834	35	"2009-10"
30834	35	"2009-06"
30834	35	"2009-05"
30834	35	"2009-11"
30835	36	"2012-09"
30835	37	"2013-02"
30835	37	"2012-01"
30836	38	"2012-04"
30836	39	"2012-04"
30836	40	"2011-10"
30836	41	"2013-08"
30836	42	"2013-08"
30836	43	"2013-09"
30836	44	"2013-09"
30836	45	"2013-09"
30836	46	"2012-04"
30836	47	"2012-01"
30836	48	"2013-09"
30836	49	"2011-09"
30836	50	"2013-08"
30836	51	"2013-09"
30836	52	"2012-01"
30836	53	"2011-06"
30836	54	"2012-02"
30836	55	"2012-06"
30836	56	"2013-08"
30836	57	"2013-09"
30836	58	"2012-04"
30837	59	"2005-08"
30837	59	"2006-08"
30837	60	"2006-01"
30837	61	"2010-09"
30837	62	"2005-12"
30837	63	"2007-01"
30837	63	"2007-12"
30838	64	"2009-03"
30838	65	"2008-10"
30838	66	"2005-03"
30838	66	"2007-04"
30838	67	"2007-09"
30838	68	"2010-09"
30838	69	"2013-12"
30838	69	"2013-04"
30838	70	"2014-04"
30838	71	"2006-11"
30838	72	"2007-05"
30838	73	"2014-04"
30839	74	"2012-01"
30839	75	"2012-01"
30839	76	"2012-01"
30839	77	"2013-01"
30839	78	"2011-01"
30839	79	"2014-05"
30839	80	"2012-01"
30839	81	"2013-01"
30839	81	"2011-01"
30839	82	"2012-01"
30839	83	"2012-01"
30839	84	"2012-01"
30839	85	"2012-01"
30840	86	"2014-09"
30841	87	"2013-03"
30842	88	"2014-01"
30843	89	"2014-05"
30844	90	"2010-03"
30845	91	"2011-01"
30846	92	"2011-10"
30847	93	"2014-03"
30848	94	"2013-07"
30849	95	"2000-12"
30850	96	"2010-04"
30851	97	"2011-11"
30851	98	"2010-08"
30851	99	"2013-08"
30851	100	"2014-09"
30851	101	"2011-11"
30851	101	"2012-07"
30852	102	"2012-09"
30853	103	"2013-11"
30854	104	"2011-07"
30855	105	"2013-07"
30855	106	"2012-04"
30855	106	"2013-07"
30855	107	"2013-01"
30855	107	"2014-03"
30855	108	"2014-08"
30855	109	"2012-08"
30855	109	"2013-06"
30856	110	"2014-01"
30856	111	"2014-01"
30856	112	"2014-01"
30856	113	"2013-01"
30856	114	"2014-01"
30856	115	"2014-01"
30856	116	"2013-03"
30857	117	"2013-08"
30858	118	"2008-12"
30858	119	"2008-04"
30858	120	"2009-07"
30858	121	"2008-11"
30858	122	"2005-04"
30858	122	"2006-01"
30858	122	"2006-07"
30858	122	"2007-03"
30858	122	"2007-12"
30858	123	"2010-02"
30858	124	"2009-01"
30858	125	"2009-07"
30858	125	"2009-07"
30858	126	"2006-04"
30858	126	"2008-07"
30858	126	"2007-10"
30858	127	"2008-09"
30858	128	"2006-03"
30859	129	"2014-04"
30860	130	"2011-09"
30861	131	"2014-05"
30861	132	"2013-12"
30862	133	"2014-02"
30863	134	"2013-03"
30863	135	"2013-12"
30863	135	"2013-07"
30863	136	"2013-11"
30863	137	"2014-03"
30863	138	"2011-08"
30863	139	"2011-04"
30863	139	"2012-10"
30863	139	"2014-01"
30863	140	"2014-07"
30864	141	"2013-07"
30864	141	"2011-02"
30865	142	"2008-08"
30866	143	"2005-12"
30866	144	"2011-07"
30867	145	"2010-10"
30868	146	"2010-09"
30869	147	"2011-01"
30870	148	"2012-01"
30871	149	"2013-10"
30872	150	"2014-03"
30872	151	"2008-07"
30872	152	"2011-06"
30872	153	"2010-03"
30872	154	"2013-10"
30872	155	"2009-09"
30872	156	"2014-05"
30872	157	"2014-05"
30872	158	"2012-03"
30872	159	"1999-01"
30872	160	"2008-04"
30872	160	"2007-04"
30872	161	"2013-04"
30872	162	"2004-07"
30872	163	"2012-04"
30872	164	"2014-04"
30872	165	"2014-05"
30872	166	"2014-05"
30872	167	"2009-01"
30872	168	"2014-05"
30872	169	"2013-12"
30872	170	"2010-12"
30872	170	"2012-04"
30872	170	"2013-12"
30872	170	"2008-09"
30872	171	"2013-06"
30872	172	"2005-04"
30872	173	"2004-01"
30872	174	"2003-12"
30872	175	"2000-09"
30872	176	"2007-06"
30872	177	"2002-02"
30872	178	"2011-04"
30872	179	"2010-08"
30872	180	"2011-06"
30872	181	"2009-02"
30872	182	"2008-12"
30872	183	"2008-11"
30872	184	"2007-09"
