"investors"	"companies"
30837	59
30837	60
30837	62
30838	66
30849	95
30858	122
30858	122
30858	128
30866	143
30872	159
30872	162
30872	172
30872	173
30872	174
30872	175
30872	177
30872	185
30872	186
30872	187
30872	188
30872	189
30872	190
30872	191
30882	207
30882	208
30882	209
30882	210
30882	211
30882	214
30882	219
30882	220
30882	221
30882	229
30882	230
30882	233
30882	234
30882	235
30882	237
30882	237
30882	240
30882	241
30882	242
30882	242
30882	242
30882	244
30882	250
30882	252
30882	255
30882	255
30882	262
30882	263
30882	264
30882	266
30882	269
30882	78
30882	270
30882	271
30882	272
30882	274
30882	277
30882	278
30882	280
30887	311
30887	311
30890	316
30892	320
30892	322
30901	339
30901	340
30910	920
30940	1019
30947	1030
30947	1032
30947	1032
30955	1047
30968	1079
30968	1080
30968	1090
30969	1095
30971	1103
30971	1121
30972	1124
30973	1125
30974	1127
30979	1136
30981	1151
30982	1168
30982	1176
30982	1183
30982	1184
30982	1184
30982	1184
30994	1227
30997	1232
30997	1233
30997	1234
30999	1252
30999	1255
30999	1263
30999	1265
30999	1266
30999	1270
30999	1273
30999	1275
30999	1276
30999	1286
30999	1286
30999	1292
30999	1293
30999	479
30999	1315
30999	1324
30999	1352
30999	1364
30999	1365
30999	1367
30999	1369
30999	929
30999	1378
30999	1382
30999	76
30999	1417
30999	1419
30999	1426
30999	1436
30999	1447
30999	1447
30999	1451
30999	1458
30999	1463
30999	1469
30999	1475
30999	1481
30999	1483
30999	1490
30999	1492
30999	1499
30999	1502
30999	1503
30999	1511
30999	1511
30999	1512
30999	1515
30999	1515
30999	1515
30999	281
30999	1519
30999	1539
30999	1542
31028	1690
31028	1691
31028	1700
31028	1702
31029	976
31034	1724
31037	1760
31040	1762
31040	1764
31040	1765
31040	62
31040	1767
31040	63
31050	1788
31059	1800
31059	1800
31061	1803
31061	1804
31061	1807
31061	1811
31061	1817
31071	1844
31073	1858
31076	1864
31076	1880
31076	1885
31080	1897
31084	1903
31086	1912
31086	1913
31086	1914
31086	1924
31087	1079
31087	1945
31087	1947
31087	1955
31087	1966
31087	1511
31087	1511
31090	1984
31090	1988
31091	1997
31093	1999
31093	2000
31093	1270
31093	2002
31096	2008
31107	1266
31107	2029
31116	2047
31116	2057
31116	2061
31120	2070
31120	2074
31120	2076
31120	2077
31120	2079
31120	2090
31120	2092
31120	2102
31120	2104
31120	2107
31120	2110
31120	2111
31120	2111
31124	2139
31124	2142
31124	2143
31124	1685
31124	1685
31124	2176
31128	2183
31128	2188
31128	2189
31128	2190
31128	1502
31130	2196
31130	2198
31130	234
31130	2201
31142	2229
31163	2322
31163	2323
31171	2338
31171	2338
31175	2347
31178	2351
31178	2352
31186	1182
31194	1913
31194	2389
31195	2390
31195	2391
31217	2441
31217	2441
31230	2478
31241	2564
31253	2611
31253	2613
31257	2618
31264	2625
31265	2627
31265	2628
31265	2629
31265	2074
31265	2630
31265	2632
31265	2634
31265	2636
31265	2636
31265	2636
31265	2639
31265	78
31265	2642
31265	2642
31265	2644
31265	2645
31265	1451
31265	2650
31266	2653
31269	2668
31269	2669
31269	2670
31269	2673
31270	2674
31270	2682
31270	2682
31270	2687
31270	2700
31270	2701
31270	2704
31274	2722
31275	2723
31279	2739
31279	2746
31279	2750
31279	2765
31279	2785
31279	1548
31280	2802
31280	2803
31280	2804
31281	2808
31281	2810
31282	2812
31282	2817
31282	2820
31282	2820
31282	2820
31282	2820
31288	2839
31288	2840
31292	2859
31292	2863
31292	2865
31292	2868
31292	2869
31292	1103
31292	2560
31292	1716
31292	2883
31292	2884
31292	2885
31292	2886
31292	2887
31292	2831
31292	2900
31292	2901
31305	2961
31305	1809
31319	3044
31322	3046
31328	3080
31328	3080
31328	1804
31328	2391
31328	3083
31329	1032
31329	1032
31330	3091
31330	3097
31330	3099
31330	3107
31330	252
31330	3110
31330	929
31330	2886
31348	3185
31354	3203
31354	3204
31357	3211
31357	3214
31357	3216
31357	3225
31357	2827
31357	3230
31357	3237
31362	3248
31362	170
31365	2196
31365	220
31365	1263
31365	3287
31365	3287
31365	3287
31365	3291
31365	3301
31365	256
31365	929
31365	1382
31365	3310
31365	1447
31369	3319
31372	3338
31378	3354
31394	3418
31401	2704
31403	2863
31403	3434
31403	3435
31403	1221
31403	3438
31407	2057
31407	3442
31407	3443
31407	3444
31411	2872
31411	1904
31411	2562
31413	3465
31413	3465
31413	3467
31413	3469
31413	2634
31413	3470
31413	3471
31413	3477
31416	3481
31416	3484
31416	3489
31416	3495
31416	1955
31416	3500
31416	3501
31416	3503
31416	3505
31418	3518
31421	3522
31421	3523
31424	3530
31424	3530
31425	3535
31425	3535
31426	3536
31426	3537
31426	3538
31426	3539
31427	3541
31436	3600
31439	3603
31447	3779
31456	3828
31463	3841
31463	3846
31463	3849
31472	3883
31486	3971
31496	3988
31499	3994
31506	4002
31506	3540
31506	4006
31507	4009
31507	4011
31507	4020
31507	4020
31507	4031
31507	2709
31507	1206
31516	3444
31516	1528
31516	1528
31518	4066
31518	4067
31518	1804
31518	2200
31518	4069
31518	4071
31518	4072
31518	1767
31518	1364
31518	4073
31518	4074
31518	4076
31518	4079
31518	4080
31518	1817
31518	4085
31520	4094
31522	3211
31522	4095
31522	4096
31522	4101
31522	4103
31522	4106
31522	4108
31522	4109
31522	4109
31530	1903
31535	4135
31535	4136
31535	1691
31535	4139
31535	4141
31535	4143
31535	4144
31535	4146
31541	4160
31541	4167
31558	4190
31558	4191
31562	4202
31564	3467
31567	234
31567	2716
31573	4242
31578	4250
31581	4261
31581	4267
31581	2560
31581	4277
31581	4141
31581	4281
31581	4281
31581	2562
31581	2829
31581	2564
31583	4304
31598	2477
31598	4338
31602	221
31602	4349
31602	4350
31603	4360
31607	4368
31607	4368
31608	2196
31610	4370
31610	4371
31610	4372
31610	4373
31610	4374
31610	1483
31611	2107
31614	4338
31616	4390
31617	4391
31617	4391
31635	4438
31648	4457
31648	4458
31648	4459
31648	4460
31648	2145
31648	2107
31654	4477
31661	4509
31661	4519
31661	2190
31661	4526
31662	4537
31664	4542
31665	4543
31665	4549
31665	4550
31673	4560
31676	4567
31677	4568
31677	4569
31677	4574
31677	4577
31677	4578
31677	2176
31677	4579
31677	4579
31680	4581
31682	3111
31684	4610
31684	4610
31684	4614
31684	4624
31684	4625
31684	4626
31684	4628
31700	4646
31700	4647
31700	3828
31700	4648
31701	4653
31701	4659
31705	4664
31711	4705
31716	4722
31716	4724
31716	4724
31716	4724
31716	3470
31716	4726
31716	3124
31718	4738
31718	4738
31725	4749
31726	4756
31726	4767
31742	316
31744	4815
31745	4818
31745	4265
31745	4820
31745	4822
31745	4826
31745	4836
31745	4838
31745	4841
31755	4864
31755	4865
31755	4866
31756	4867
31763	4888
31763	1999
31767	4901
31772	4908
31772	1252
31772	4917
31772	4919
31772	4926
31772	4927
31772	4930
31772	4933
31772	4936
31772	4937
31772	4941
31772	4944
31772	4944
31772	4948
31772	4949
31772	4957
31772	4810
31772	4961
31772	929
31772	4986
31772	18
31772	19
31772	1463
31772	5000
31772	5010
31779	5061
31782	5065
31786	5069
31788	2636
31788	2636
31800	5086
31800	5087
31810	5100
31810	1666
31810	5111
31810	5115
31810	5123
31810	4167
31810	5134
31810	5135
31810	5136
31810	5137
31810	5141
31810	5143
31810	5143
31810	5146
31810	5148
31814	5159
31822	66
31822	5172
31822	4865
31822	5173
31822	3592
31822	5186
31822	5186
31824	5188
31826	5194
31837	5221
31837	2352
31837	5231
31837	5232
31837	5236
31837	5239
31837	5245
31837	5246
31837	5252
31837	2322
31837	5253
31837	1293
31837	5256
31837	5258
31837	5258
31837	5264
31837	5268
31837	5268
31837	5275
31837	5276
31837	5280
31837	5281
31837	5283
31837	1180
31837	5290
31837	5292
31837	5298
31837	1184
31837	1184
31837	1184
31837	1184
31837	1184
31837	5300
31837	5186
31839	5313
31842	5316
31842	5319
31842	5319
31846	5325
31846	5325
31857	5344
31857	2560
31857	1124
31859	5380
31860	4440
31860	4440
31872	5404
31877	3082
31877	2632
31878	5416
31878	5417
31878	235
31878	5418
31884	5437
31886	5444
31886	5445
31886	5446
31896	5478
31897	5479
31897	5480
31897	5481
31897	2190
31899	3973
31899	4841
31900	5484
31914	2201
31918	5563
31922	5572
31922	5575
31922	3828
31922	3828
31922	2618
31922	5580
