"X1"	"X2"
31230	33556
31230	38447
31230	42358
33556	38447
33556	42358
38447	42358
31265	37963
31265	46488
37963	46488
33364	38664
33364	49245
38664	49245
31424	36710
31424	39362
31424	41132
31424	42438
36710	39362
36710	41132
36710	42438
39362	41132
39362	42438
41132	42438
31463	31982
31463	45711
31463	50320
31982	45711
31982	50320
45711	50320
32052	34410
32052	36311
34410	36311
32783	33787
32783	36276
32783	36402
32783	46988
33787	36276
33787	36402
33787	46988
36276	36402
36276	46988
36402	46988
31772	35757
31772	36446
31772	38115
35757	36446
35757	38115
36446	38115
31984	36327
32027	45728
32027	41271
32027	45728
41271	45728
35974	37940
35974	38069
35974	38943
35974	39213
35974	40462
35974	41028
37940	38069
37940	38943
37940	39213
37940	40462
37940	41028
38069	38943
38069	39213
38069	40462
38069	41028
38943	39213
38943	40462
38943	41028
39213	40462
39213	41028
40462	41028
33014	36083
33324	34826
33324	40790
33324	42941
34826	40790
34826	42941
40790	42941
33429	39300
33429	41037
33429	42619
39300	41037
39300	42619
41037	42619
48436	49071
48436	51892
49071	51892
43231	45231
43231	45765
43231	49211
45231	45765
45231	49211
45765	49211
36451	38447
36451	39375
38447	39375
35839	36392
35839	41717
36392	41717
35973	36402
35973	36972
35973	38116
36402	36972
36402	38116
36972	38116
36083	36403
36083	42779
36403	42779
36083	40541
36083	36403
36626	37870
37240	37241
37240	50449
37241	50449
37507	50625
37507	51434
50625	51434
41225	44172
46052	51707
47711	50310
